npi1,npi2,paircount,benecount,samedaycount
1841209368,1538206164,74,23,0
1841209368,1538422639,44,18,0
1841209368,1548220213,337,73,0
1841209368,1548285901,85,26,0
1841209368,1548287121,54,18,0
1841209368,1548294945,61,25,0
1841209368,1548298920,262,14,0
1841209368,1558319434,28,11,0
1841209368,1578522694,557,113,0
1841209368,1588650428,51,22,0
1841209368,1588689368,24,13,0
1841209368,1588699342,138,38,0
1841209368,1598789513,48,16,0
1841209368,1619077476,406,149,0
1841209368,1619972478,288,108,0
1841209368,1639198278,95,39,0
1841209368,1649298928,30,13,0
1841209368,1659475895,227,92,0
1841209368,1689006942,76,24,0
1841209368,1710179494,356,100,0
1841209368,1720262629,92,26,0
1841209368,1740221225,43,16,0
1841209368,1740235829,76,29,0
1841209368,1740243914,105,24,0
1841209368,1760400790,139,62,0
1841209368,1760616841,22,14,0
1841209368,1760780217,50,11,0
1841209368,1770664898,456,120,0
1841209368,1770685000,99,20,0
1841209368,1780729400,130,49,0
1841209368,1801814173,59,21,0
1841209368,1811983539,92,29,0
1841209368,1851387781,98,26,5
1841209368,1861482903,456,170,171
1841209368,1861485187,92,24,5
1841209368,1861509333,51,18,0
1841209368,1871530022,111,31,10
1841209368,1871575506,109,29,12
1841209368,1871606004,66,17,7
1841209368,1871708297,431,95,61
1841209368,1871754473,48,20,13
1841209368,1881633691,55,15,11
1841209368,1881722601,86,36,30
1841209368,1891704409,51,25,8
1841209368,1891782074,105,34,0
1841209368,1891888384,78,22,3
1841209368,1902824287,74,36,15
1841209368,1902840812,73,24,14
1841209368,1912911017,50,27,8
1841209368,1912922329,38,17,3
1841209368,1922071117,20,13,1
1841209368,1922162510,35,13,0
1841209368,1932157245,77,21,8
1841209368,1952348047,89,51,8
1841209368,1952568107,78,37,37
1841209368,1972538445,162,74,42
1841209368,1982666137,240,63,10
1841209368,1982898771,22,14,7
1841209368,1982950978,30,20,4
1841223468,1063567691,46,20,0
1841223468,1295802452,36,14,0
1841223468,1437368891,65,25,0
1841223468,1770520389,28,12,0
